"area","country","phase","phase_label","severity_category","validity_period","population_affected","pct_total_population"
"Bay Southern Inland Pastoral","SOM","ALL","All Phases - Total","Total","Current",19514,1.0000
"Bay Urban (Baydhaba)","SOM","1","Phase 1 - Minimal","Minimal","Current",8103,0.5000
"Bay Urban (Baydhaba)","SOM","2","Phase 2 - Stressed","Stressed","Current",7293,0.4500
"Bay Urban (Baydhaba)","SOM","3","Phase 3 - Crisis","Crisis","Current",810,0.0500
"Bay Urban (Baydhaba)","SOM","3+","Phase 3+ - Crisis or Worse","Crisis or Worse","Current",810,0.0500
"Bay Urban (Baydhaba)","SOM","4","Phase 4 - Emergency","Emergency or Famine","Current",0,0.0000
"Bay Urban (Baydhaba)","SOM","5","Phase 5 - Famine","Emergency or Famine","Current",0,0.0000
"Bay Urban (Baydhaba)","SOM","ALL","All Phases - Total","Total","Current",16206,1.0000
"Bay Urban (Bur Hakaba, Diinsor and Qansax Dheere)","SOM","1","Phase 1 - Minimal","Minimal","Current",20437,0.4000
"Bay Urban (Bur Hakaba, Diinsor and Qansax Dheere)","SOM","2","Phase 2 - Stressed","Stressed","Current",25546,0.5000
"Bay Urban (Bur Hakaba, Diinsor and Qansax Dheere)","SOM","3","Phase 3 - Crisis","Crisis","Current",5109,0.1000
"Bay Urban (Bur Hakaba, Diinsor and Qansax Dheere)","SOM","3+","Phase 3+ - Crisis or Worse","Crisis or Worse","Current",5109,0.1000
"Bay Urban (Bur Hakaba, Diinsor and Qansax Dheere)","SOM","4","Phase 4 - Emergency","Emergency or Famine","Current",0,0.0000
"Bay Urban (Bur Hakaba, Diinsor and Qansax Dheere)","SOM","5","Phase 5 - Famine","Emergency or Famine","Current",0,0.0000
"Bay Urban (Bur Hakaba, Diinsor and Qansax Dheere)","SOM","ALL","All Phases - Total","Total","Current",51092,1.0000
"Bay Urban IDPs (Baydhaba)","SOM","1","Phase 1 - Minimal","Minimal","Current",25765,0.0500
"Bay Urban IDPs (Baydhaba)","SOM","2","Phase 2 - Stressed","Stressed","Current",154587,0.3000
"Bay Urban IDPs (Baydhaba)","SOM","3","Phase 3 - Crisis","Crisis","Current",180352,0.3500
"Bay Urban IDPs (Baydhaba)","SOM","3+","Phase 3+ - Crisis or Worse","Crisis or Worse","Current",334939,0.6500
"Bay Urban IDPs (Baydhaba)","SOM","4","Phase 4 - Emergency","Emergency or Famine","Current",154587,0.3000
"Bay Urban IDPs (Baydhaba)","SOM","5","Phase 5 - Famine","Emergency or Famine","Current",0,0.0000
"Bay Urban IDPs (Baydhaba)","SOM","ALL","All Phases - Total","Total","Current",515291,1.0000
"Bay Urban IDPs (Bur Hakaba, Diinsor and Qansax Dheere)","SOM","1","Phase 1 - Minimal","Minimal","Current",11455,0.1500
"Bay Urban IDPs (Bur Hakaba, Diinsor and Qansax Dheere)","SOM","2","Phase 2 - Stressed","Stressed","Current",19092,0.2500
"Bay Urban IDPs (Bur Hakaba, Diinsor and Qansax Dheere)","SOM","3","Phase 3 - Crisis","Crisis","Current",26729,0.3500
"Bay Urban IDPs (Bur Hakaba, Diinsor and Qansax Dheere)","SOM","3+","Phase 3+ - Crisis or Worse","Crisis or Worse","Current",45821,0.6000
"Bay Urban IDPs (Bur Hakaba, Diinsor and Qansax Dheere)","SOM","4","Phase 4 - Emergency","Emergency or Famine","Current",19092,0.2500
"Bay Urban IDPs (Bur Hakaba, Diinsor and Qansax Dheere)","SOM","5","Phase 5 - Famine","Emergency or Famine","Current",0,0.0000
"Bay Urban IDPs (Bur Hakaba, Diinsor and Qansax Dheere)","SOM","ALL","All Phases - Total","Total","Current",76369,1.0000
"Central Addun pastoral (Mudug and Galgaduud)","SOM","1","Phase 1 - Minimal","Minimal","Current",53412,0.1000
"Central Addun pastoral (Mudug and Galgaduud)","SOM","2","Phase 2 - Stressed","Stressed","Current",160235,0.3000
"Central Addun pastoral (Mudug and Galgaduud)","SOM","3","Phase 3 - Crisis","Crisis","Current",213647,0.4000
"Central Addun pastoral (Mudug and Galgaduud)","SOM","3+","Phase 3+ - Crisis or Worse","Crisis or Worse","Current",320470,0.6000
"Central Addun pastoral (Mudug and Galgaduud)","SOM","4","Phase 4 - Emergency","Emergency or Famine","Current",106823,0.2000
"Central Addun pastoral (Mudug and Galgaduud)","SOM","5","Phase 5 - Famine","Emergency or Famine","Current",0,0.0000
"Central Addun pastoral (Mudug and Galgaduud)","SOM","ALL","All Phases - Total","Total","Current",534117,1.0000
"Central Coastal Deeh Pastoral (Mudug and Galgadud)","SOM","1","Phase 1 - Minimal","Minimal","Current",9635,0.1000
"Central Coastal Deeh Pastoral (Mudug and Galgadud)","SOM","2","Phase 2 - Stressed","Stressed","Current",28905,0.3000
"Central Coastal Deeh Pastoral (Mudug and Galgadud)","SOM","3","Phase 3 - Crisis","Crisis","Current",38540,0.4000
"Central Coastal Deeh Pastoral (Mudug and Galgadud)","SOM","3+","Phase 3+ - Crisis or Worse","Crisis or Worse","Current",57811,0.6000
"Central Coastal Deeh Pastoral (Mudug and Galgadud)","SOM","4","Phase 4 - Emergency","Emergency or Famine","Current",19270,0.2000
"Central Coastal Deeh Pastoral (Mudug and Galgadud)","SOM","5","Phase 5 - Famine","Emergency or Famine","Current",0,0.0000
"Central Coastal Deeh Pastoral (Mudug and Galgadud)","SOM","ALL","All Phases - Total","Total","Current",96351,1.0000
"Central Cowpea Belt  (Mudug and Galgadud)","SOM","1","Phase 1 - Minimal","Minimal","Current",53989,0.3000
"Central Cowpea Belt  (Mudug and Galgadud)","SOM","2","Phase 2 - Stressed","Stressed","Current",71985,0.4000
"Central Cowpea Belt  (Mudug and Galgadud)","SOM","3","Phase 3 - Crisis","Crisis","Current",44991,0.2500
"Central Cowpea Belt  (Mudug and Galgadud)","SOM","3+","Phase 3+ - Crisis or Worse","Crisis or Worse","Current",53989,0.3000
"Central Cowpea Belt  (Mudug and Galgadud)","SOM","4","Phase 4 - Emergency","Emergency or Famine","Current",8998,0.0500
"Central Cowpea Belt  (Mudug and Galgadud)","SOM","5","Phase 5 - Famine","Emergency or Famine","Current",0,0.0000
"Central Cowpea Belt  (Mudug and Galgadud)","SOM","ALL","All Phases - Total","Total","Current",179963,1.0000
"Central Hawd Pastoral (South Mudug, Galgadud)","SOM","1","Phase 1 - Minimal","Minimal","Current",63819,0.1500
"Central Hawd Pastoral (South Mudug, Galgadud)","SOM","2","Phase 2 - Stressed","Stressed","Current",148912,0.3500
"Central Hawd Pastoral (South Mudug, Galgadud)","SOM","3","Phase 3 - Crisis","Crisis","Current",127639,0.3000
"Central Hawd Pastoral (South Mudug, Galgadud)","SOM","3+","Phase 3+ - Crisis or Worse","Crisis or Worse","Current",212731,0.5000
"Central Hawd Pastoral (South Mudug, Galgadud)","SOM","4","Phase 4 - Emergency","Emergency or Famine","Current",85092,0.2000
"Central Hawd Pastoral (South Mudug, Galgadud)","SOM","5","Phase 5 - Famine","Emergency or Famine","Current",0,0.0000
"Central Hawd Pastoral (South Mudug, Galgadud)","SOM","ALL","All Phases - Total","Total","Current",425462,1.0000
