"area","country","phase","phase_label","severity_category","validity_period","population_affected","pct_total_population"
"Shabelle Southern Rainfed (L Shabelle)","SOM","4","Phase 4 - Emergency","Emergency or Famine","Current",0,0.0000
"Shabelle Southern Rainfed (L Shabelle)","SOM","5","Phase 5 - Famine","Emergency or Famine","Current",0,0.0000
"Shabelle Southern Rainfed (L Shabelle)","SOM","ALL","All Phases - Total","Total","Current",64773,1.0000
"Sool Urban (Caynabo, Taleex and Xudun)","SOM","1","Phase 1 - Minimal","Minimal","Current",10923,0.3000
"Sool Urban (Caynabo, Taleex and Xudun)","SOM","2","Phase 2 - Stressed","Stressed","Current",21847,0.6000
"Sool Urban (Caynabo, Taleex and Xudun)","SOM","3","Phase 3 - Crisis","Crisis","Current",3641,0.1000
"Sool Urban (Caynabo, Taleex and Xudun)","SOM","3+","Phase 3+ - Crisis or Worse","Crisis or Worse","Current",3641,0.1000
"Sool Urban (Caynabo, Taleex and Xudun)","SOM","4","Phase 4 - Emergency","Emergency or Famine","Current",0,0.0000
"Sool Urban (Caynabo, Taleex and Xudun)","SOM","5","Phase 5 - Famine","Emergency or Famine","Current",0,0.0000
"Sool Urban (Caynabo, Taleex and Xudun)","SOM","ALL","All Phases - Total","Total","Current",36411,1.0000
"Sool Urban (Laas Caanood)","SOM","1","Phase 1 - Minimal","Minimal","Current",20668,0.5500
"Sool Urban (Laas Caanood)","SOM","2","Phase 2 - Stressed","Stressed","Current",15031,0.4000
"Sool Urban (Laas Caanood)","SOM","3","Phase 3 - Crisis","Crisis","Current",1879,0.0500
"Sool Urban (Laas Caanood)","SOM","3+","Phase 3+ - Crisis or Worse","Crisis or Worse","Current",1879,0.0500
"Sool Urban (Laas Caanood)","SOM","4","Phase 4 - Emergency","Emergency or Famine","Current",0,0.0000
"Sool Urban (Laas Caanood)","SOM","5","Phase 5 - Famine","Emergency or Famine","Current",0,0.0000
"Sool Urban (Laas Caanood)","SOM","ALL","All Phases - Total","Total","Current",37578,1.0000
"Sool Urban IDPs (Caynabo, Taleex and Xudun)","SOM","1","Phase 1 - Minimal","Minimal","Current",5848,0.2000
"Sool Urban IDPs (Caynabo, Taleex and Xudun)","SOM","2","Phase 2 - Stressed","Stressed","Current",16082,0.5500
"Sool Urban IDPs (Caynabo, Taleex and Xudun)","SOM","3","Phase 3 - Crisis","Crisis","Current",7310,0.2500
"Sool Urban IDPs (Caynabo, Taleex and Xudun)","SOM","3+","Phase 3+ - Crisis or Worse","Crisis or Worse","Current",7310,0.2500
"Sool Urban IDPs (Caynabo, Taleex and Xudun)","SOM","4","Phase 4 - Emergency","Emergency or Famine","Current",0,0.0000
"Sool Urban IDPs (Caynabo, Taleex and Xudun)","SOM","5","Phase 5 - Famine","Emergency or Famine","Current",0,0.0000
"Sool Urban IDPs (Caynabo, Taleex and Xudun)","SOM","ALL","All Phases - Total","Total","Current",29240,1.0000
"Sool Urban IDPs (Laas Caanood)","SOM","1","Phase 1 - Minimal","Minimal","Current",1080,0.1500
"Sool Urban IDPs (Laas Caanood)","SOM","2","Phase 2 - Stressed","Stressed","Current",4318,0.6000
"Sool Urban IDPs (Laas Caanood)","SOM","3","Phase 3 - Crisis","Crisis","Current",1439,0.2000
"Sool Urban IDPs (Laas Caanood)","SOM","3+","Phase 3+ - Crisis or Worse","Crisis or Worse","Current",1799,0.2500
"Sool Urban IDPs (Laas Caanood)","SOM","4","Phase 4 - Emergency","Emergency or Famine","Current",360,0.0500
"Sool Urban IDPs (Laas Caanood)","SOM","5","Phase 5 - Famine","Emergency or Famine","Current",0,0.0000
"Sool Urban IDPs (Laas Caanood)","SOM","ALL","All Phases - Total","Total","Current",7197,1.0000
"Togdheer Urban (Burco)","SOM","1","Phase 1 - Minimal","Minimal","Current",19192,0.5500
"Togdheer Urban (Burco)","SOM","2","Phase 2 - Stressed","Stressed","Current",13958,0.4000
"Togdheer Urban (Burco)","SOM","3","Phase 3 - Crisis","Crisis","Current",1745,0.0500
"Togdheer Urban (Burco)","SOM","3+","Phase 3+ - Crisis or Worse","Crisis or Worse","Current",1745,0.0500
"Togdheer Urban (Burco)","SOM","4","Phase 4 - Emergency","Emergency or Famine","Current",0,0.0000
"Togdheer Urban (Burco)","SOM","5","Phase 5 - Famine","Emergency or Famine","Current",0,0.0000
"Togdheer Urban (Burco)","SOM","ALL","All Phases - Total","Total","Current",34895,1.0000
"Togdheer Urban (Buuhoodle, Owdweyne and Sheikh)","SOM","1","Phase 1 - Minimal","Minimal","Current",14119,0.5500
"Togdheer Urban (Buuhoodle, Owdweyne and Sheikh)","SOM","2","Phase 2 - Stressed","Stressed","Current",10268,0.4000
"Togdheer Urban (Buuhoodle, Owdweyne and Sheikh)","SOM","3","Phase 3 - Crisis","Crisis","Current",1284,0.0500
"Togdheer Urban (Buuhoodle, Owdweyne and Sheikh)","SOM","3+","Phase 3+ - Crisis or Worse","Crisis or Worse","Current",1284,0.0500
"Togdheer Urban (Buuhoodle, Owdweyne and Sheikh)","SOM","4","Phase 4 - Emergency","Emergency or Famine","Current",0,0.0000
"Togdheer Urban (Buuhoodle, Owdweyne and Sheikh)","SOM","5","Phase 5 - Famine","Emergency or Famine","Current",0,0.0000
"Togdheer Urban (Buuhoodle, Owdweyne and Sheikh)","SOM","ALL","All Phases - Total","Total","Current",25671,1.0000
"Togdheer Urban IDPs (Burco)","SOM","1","Phase 1 - Minimal","Minimal","Current",19657,0.2000
"Togdheer Urban IDPs (Burco)","SOM","2","Phase 2 - Stressed","Stressed","Current",49144,0.5000
"Togdheer Urban IDPs (Burco)","SOM","3","Phase 3 - Crisis","Crisis","Current",19657,0.2000
"Togdheer Urban IDPs (Burco)","SOM","3+","Phase 3+ - Crisis or Worse","Crisis or Worse","Current",29486,0.3000
"Togdheer Urban IDPs (Burco)","SOM","4","Phase 4 - Emergency","Emergency or Famine","Current",9829,0.1000
"Togdheer Urban IDPs (Burco)","SOM","5","Phase 5 - Famine","Emergency or Famine","Current",0,0.0000
"Togdheer Urban IDPs (Burco)","SOM","ALL","All Phases - Total","Total","Current",98287,1.0000
"Togdheer Urban IDPs (Buuhoodle and Owdweyne)","SOM","1","Phase 1 - Minimal","Minimal","Current",3459,0.2000
"Togdheer Urban IDPs (Buuhoodle and Owdweyne)","SOM","2","Phase 2 - Stressed","Stressed","Current",8648,0.5000
"Togdheer Urban IDPs (Buuhoodle and Owdweyne)","SOM","3","Phase 3 - Crisis","Crisis","Current",3459,0.2000
"Togdheer Urban IDPs (Buuhoodle and Owdweyne)","SOM","3+","Phase 3+ - Crisis or Worse","Crisis or Worse","Current",5189,0.3000
"Togdheer Urban IDPs (Buuhoodle and Owdweyne)","SOM","4","Phase 4 - Emergency","Emergency or Famine","Current",1730,0.1000
"Togdheer Urban IDPs (Buuhoodle and Owdweyne)","SOM","5","Phase 5 - Famine","Emergency or Famine","Current",0,0.0000
"Togdheer Urban IDPs (Buuhoodle and Owdweyne)","SOM","ALL","All Phases - Total","Total","Current",17295,1.0000
"Woqooyi Galbeed Urban (Berbera and Gebiley)","SOM","1","Phase 1 - Minimal","Minimal","Current",23549,0.4000
"Woqooyi Galbeed Urban (Berbera and Gebiley)","SOM","2","Phase 2 - Stressed","Stressed","Current",32380,0.5500
"Woqooyi Galbeed Urban (Berbera and Gebiley)","SOM","3","Phase 3 - Crisis","Crisis","Current",2944,0.0500
"Woqooyi Galbeed Urban (Berbera and Gebiley)","SOM","3+","Phase 3+ - Crisis or Worse","Crisis or Worse","Current",2944,0.0500
"Woqooyi Galbeed Urban (Berbera and Gebiley)","SOM","4","Phase 4 - Emergency","Emergency or Famine","Current",0,0.0000
"Woqooyi Galbeed Urban (Berbera and Gebiley)","SOM","5","Phase 5 - Famine","Emergency or Famine","Current",0,0.0000
"Woqooyi Galbeed Urban (Berbera and Gebiley)","SOM","ALL","All Phases - Total","Total","Current",58872,1.0000
"Woqooyi Galbeed Urban (Hargeysa)","SOM","1","Phase 1 - Minimal","Minimal","Current",52895,0.4000
"Woqooyi Galbeed Urban (Hargeysa)","SOM","2","Phase 2 - Stressed","Stressed","Current",72730,0.5500
"Woqooyi Galbeed Urban (Hargeysa)","SOM","3","Phase 3 - Crisis","Crisis","Current",6612,0.0500
"Woqooyi Galbeed Urban (Hargeysa)","SOM","3+","Phase 3+ - Crisis or Worse","Crisis or Worse","Current",6612,0.0500
"Woqooyi Galbeed Urban (Hargeysa)","SOM","4","Phase 4 - Emergency","Emergency or Famine","Current",0,0.0000
"Woqooyi Galbeed Urban (Hargeysa)","SOM","5","Phase 5 - Famine","Emergency or Famine","Current",0,0.0000
"Woqooyi Galbeed Urban (Hargeysa)","SOM","ALL","All Phases - Total","Total","Current",132237,1.0000
"Woqooyi Galbeed Urban IDPs (Berbera and Gebiley)","SOM","1","Phase 1 - Minimal","Minimal","Current",998,0.2500
"Woqooyi Galbeed Urban IDPs (Berbera and Gebiley)","SOM","2","Phase 2 - Stressed","Stressed","Current",1995,0.5000
"Woqooyi Galbeed Urban IDPs (Berbera and Gebiley)","SOM","3","Phase 3 - Crisis","Crisis","Current",599,0.1500
"Woqooyi Galbeed Urban IDPs (Berbera and Gebiley)","SOM","3+","Phase 3+ - Crisis or Worse","Crisis or Worse","Current",998,0.2500
"Woqooyi Galbeed Urban IDPs (Berbera and Gebiley)","SOM","4","Phase 4 - Emergency","Emergency or Famine","Current",399,0.1000
"Woqooyi Galbeed Urban IDPs (Berbera and Gebiley)","SOM","5","Phase 5 - Famine","Emergency or Famine","Current",0,0.0000
"Woqooyi Galbeed Urban IDPs (Berbera and Gebiley)","SOM","ALL","All Phases - Total","Total","Current",3990,1.0000
"Woqooyi Galbeed Urban IDPs (Hargeysa)","SOM","1","Phase 1 - Minimal","Minimal","Current",24495,0.2000
"Woqooyi Galbeed Urban IDPs (Hargeysa)","SOM","2","Phase 2 - Stressed","Stressed","Current",61237,0.5000
"Woqooyi Galbeed Urban IDPs (Hargeysa)","SOM","3","Phase 3 - Crisis","Crisis","Current",24495,0.2000
"Woqooyi Galbeed Urban IDPs (Hargeysa)","SOM","3+","Phase 3+ - Crisis or Worse","Crisis or Worse","Current",36742,0.3000
"Woqooyi Galbeed Urban IDPs (Hargeysa)","SOM","4","Phase 4 - Emergency","Emergency or Famine","Current",12247,0.1000
"Woqooyi Galbeed Urban IDPs (Hargeysa)","SOM","5","Phase 5 - Famine","Emergency or Famine","Current",0,0.0000
"Woqooyi Galbeed Urban IDPs (Hargeysa)","SOM","ALL","All Phases - Total","Total","Current",122473,1.0000
